,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
Weight,0.70322556,0.88278906,-0.10514131,0.67320761,-0.15631310,-0.98680150,1.72372744,-0.10600269,-0.12161963,-0.36194046,-0.58049388,0.20207255,-0.55041793,-1.50377300,1.27926369,0.49087304,-0.35178646,1.09276725,-2.21671131,-1.17542465,0.01509254,0.45161911,-0.31072531,-0.04468823,-0.35784854,1.68180723,-0.50366258,0.69570657,0.20337014,0.44966579,0.62676367,-0.64094108,-1.32973387,0.72586708,-0.94230073,0.67040763,0.22700098,-0.42192847,0.33979230,-0.90615354,-0.60645931,-0.00738160,-1.00494548,-0.13862168,1.25293356,-0.33266970,1.45202249,0.95658639,1.64977053,-0.34019876,-0.76159152,0.42316426,-0.44320693,1.71949019,-0.09844592,0.54600025,0.43300862,-0.39627133,-0.32041597,0.66407467,0.29743414,-0.79237475,-1.11578571,0.27842514,0.10719204,0.27164643,-0.20304711,0.21959685,-0.39035935,0.22381689,-1.39235916,-0.65612602,-0.24487664,-0.11401148,-0.00946389,1.08640093,-1.24371483,0.33661194,0.74976404,0.03761604,-1.45622661,-1.21428615,2.11667745
Return,-0.01613439,0.00339751,0.01333333,0.01220260,0.00696355,-0.05175601,-0.03563348,-0.02362021,-0.01527446,0.01174242,-0.01284646,-0.01939799,0.03337612,-0.01642919,-0.00218929,-0.02113388,0.04050030,0.01472573,-0.03492906,0.02584538,-0.02001334,-0.01128881,-0.05198726,-0.01374570,0.02312139,0.06875544,0.00667260,-0.04372752,-0.00607287,-0.00958516,-0.02362958,-0.00963855,0.02803738,-0.05413622,0.00669915,-0.02458185,0.03539139,0.01406694,-0.03307507,0.01941748,-0.03181818,-0.00648749,0.02588438,0.00225225,0.01605930,-0.08012358,0.01162751,0.02109769,-0.00913450,-0.01339024,-0.01933924,-0.04049080,0.00421893,0.01559851,0.02726178,0.02377522,0.03061288,-0.02652532,-0.02996310,0.04490464,-0.01715920,0.06008016,0.02162243,0.05614167,-0.03654485,-0.11222302,0.04018061,-0.04890830,-0.00799225,-0.03807254,0.01262217,0.02556818,0.03714416,0.05571156,0.05263158,-0.04698591,0.05531762,0.04398340,0.03512628,0.00564943,-0.00566558,-0.02518389,-0.01959531
