,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
Weight,-0.44329990,0.30438809,0.57986181,1.29582633,-0.63348568,-0.53034895,0.71297691,-0.40996640,0.14701686,-1.39467390,0.14174688,-0.80107527,-1.69904780,-1.68263705,1.05162431,-0.45661196,0.53698968,0.08443562,-1.26212317,-0.62029506,0.09389533,-0.10152939,-0.65614539,-0.33757635,0.09055869,2.62959934,1.15346303,0.52335317,-0.94455325,0.23389254,1.59144133,-0.87872751,-1.84186426,0.00312612,-0.35204036,1.38504473,0.60130421,-0.30477628,0.70591063,-0.47657653,-0.53417451,-0.10162597,0.63667168,0.17477609,1.12470320,-0.11393162,0.82546303,0.50689411,1.04854706,-0.70856308,0.11306795,-0.27947203,-0.27738896,1.73357227,-0.37112657,-0.10460291,0.99279971,-0.82814688,-0.62208259,0.35549876,-0.65286670,-0.94901319,-1.23339511,0.09748964,0.99810008,0.21124137,1.35166511,0.76186285,0.12810728,-0.38458227,-1.10910072,0.71004973,-0.08469749,-0.42303575,0.17246141,1.04987564,-0.23672583,0.10520421,0.82517424,-0.43210745,-1.58820452,-1.09147569,1.16399309
Return,-0.00923103,0.02973978,0.02743363,-0.01373753,-0.01231378,0.02562761,0.01997041,0.03976955,0.01819620,0.00000000,0.04015778,0.02758621,0.05376344,0.03167296,0.03384310,0.02236145,0.02769834,0.00775478,0.01809558,0.00363471,0.02216944,-0.00304260,-0.01480608,0.01724138,0.04470360,0.05123513,0.01299756,0.05450688,-0.00721154,-0.03199267,0.00000000,-0.02100840,0.01923077,0.01373058,0.01540719,0.01949730,0.03027750,0.00476517,0.01773785,0.00433925,0.00450450,0.03046127,0.01284247,0.00208478,0.03642857,0.02544819,0.01615463,0.03311998,0.00295932,-0.01546328,-0.00380807,0.02243590,0.03415318,0.03511572,-0.00250486,0.03430962,0.02817365,0.00106708,0.04156615,0.01254950,0.03803573,0.00367565,-0.02238904,0.01767016,0.03260870,0.00267809,-0.02448853,0.03153153,0.00472470,0.04407645,0.00072925,0.03030303,0.05992893,-0.01404288,0.00732064,0.06268211,0.00217592,0.05966899,-0.00221769,0.00611098,0.00965167,0.00228717,-0.00818451
